;Scopy version,f4beeb1,,,,,,,,
;Exported on,Friday October 11/10/2024,,,,,Average Ch. 1,,Average Ch. 2,
;Device,M2K,,,,,4.00E-06,V/sqrt(Hz),3.89E-06,V/sqrt(Hz)
;Nr of samples,4096,,,,,,,,
;Sample rate,0,,,,,,,,
;Tool,Spectrum Analyzer,,,,,,,,
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,,,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz),,,,,,
324,7910.16,4.04E-06,3.82E-06,,,,,,
325,7934.57,4.03E-06,3.82E-06,,,,,,
326,7958.98,4.03E-06,3.87E-06,,,,,,
327,7983.4,4.03E-06,3.83E-06,,,,,,
328,8007.81,4.02E-06,3.89E-06,,,,,,
329,8032.23,4.04E-06,3.94E-06,,,,,,
330,8056.64,4.00E-06,3.87E-06,,,,,,
331,8081.05,3.96E-06,3.85E-06,,,,,,
332,8105.47,4.02E-06,3.81E-06,,,,,,
333,8129.88,4.01E-06,3.78E-06,,,,,,
334,8154.3,3.94E-06,3.84E-06,,,,,,
335,8178.71,3.97E-06,3.95E-06,,,,,,
336,8203.13,4.00E-06,3.96E-06,,,,,,
337,8227.54,4.01E-06,3.90E-06,,,,,,
338,8251.95,4.06E-06,3.86E-06,,,,,,
339,8276.37,4.05E-06,3.87E-06,,,,,,
340,8300.78,4.02E-06,3.89E-06,,,,,,
341,8325.2,4.03E-06,3.91E-06,,,,,,
342,8349.61,4.04E-06,3.93E-06,,,,,,
343,8374.02,4.03E-06,4.03E-06,,,,,,
344,8398.44,4.03E-06,4.07E-06,,,,,,
345,8422.85,4.00E-06,3.98E-06,,,,,,
346,8447.27,3.99E-06,3.89E-06,,,,,,
347,8471.68,4.02E-06,3.87E-06,,,,,,
348,8496.09,4.00E-06,3.90E-06,,,,,,
349,8520.51,3.94E-06,3.99E-06,,,,,,
350,8544.92,3.97E-06,4.00E-06,,,,,,
351,8569.34,4.00E-06,3.91E-06,,,,,,
352,8593.75,3.97E-06,3.85E-06,,,,,,
353,8618.16,3.98E-06,3.92E-06,,,,,,
354,8642.58,4.03E-06,3.97E-06,,,,,,
355,8666.99,4.05E-06,3.92E-06,,,,,,
356,8691.41,4.07E-06,3.83E-06,,,,,,
357,8715.82,4.10E-06,3.90E-06,,,,,,
358,8740.23,4.09E-06,3.90E-06,,,,,,
359,8764.65,4.02E-06,3.79E-06,,,,,,
360,8789.06,3.98E-06,3.86E-06,,,,,,
361,8813.48,4.05E-06,3.93E-06,,,,,,
362,8837.89,4.02E-06,3.91E-06,,,,,,
363,8862.3,3.98E-06,3.87E-06,,,,,,
364,8886.72,3.94E-06,3.82E-06,,,,,,
365,8911.13,3.98E-06,3.86E-06,,,,,,
366,8935.55,4.01E-06,3.85E-06,,,,,,
367,8959.96,4.04E-06,3.87E-06,,,,,,
368,8984.38,4.05E-06,3.86E-06,,,,,,
369,9008.79,3.95E-06,3.81E-06,,,,,,
370,9033.2,3.88E-06,3.88E-06,,,,,,
371,9057.62,3.97E-06,3.97E-06,,,,,,
372,9082.03,3.97E-06,3.91E-06,,,,,,
373,9106.45,3.93E-06,3.86E-06,,,,,,
374,9130.86,3.90E-06,3.86E-06,,,,,,
375,9155.27,3.89E-06,3.92E-06,,,,,,
376,9179.69,3.92E-06,3.97E-06,,,,,,
377,9204.1,3.98E-06,3.97E-06,,,,,,
378,9228.52,4.01E-06,3.87E-06,,,,,,
379,9252.93,4.05E-06,3.85E-06,,,,,,
380,9277.34,3.99E-06,3.94E-06,,,,,,
381,9301.76,3.95E-06,3.91E-06,,,,,,
382,9326.17,3.94E-06,3.87E-06,,,,,,
383,9350.59,3.97E-06,3.89E-06,,,,,,
384,9375,4.00E-06,3.95E-06,,,,,,
385,9399.41,4.07E-06,4.04E-06,,,,,,
386,9423.83,4.10E-06,4.01E-06,,,,,,
387,9448.24,4.11E-06,3.94E-06,,,,,,
388,9472.66,4.09E-06,3.88E-06,,,,,,
389,9497.07,4.03E-06,3.80E-06,,,,,,
390,9521.48,3.92E-06,3.81E-06,,,,,,
391,9545.9,3.87E-06,3.84E-06,,,,,,
392,9570.31,3.98E-06,3.80E-06,,,,,,
393,9594.73,4.06E-06,3.80E-06,,,,,,
394,9619.14,3.97E-06,3.81E-06,,,,,,
395,9643.55,3.95E-06,3.83E-06,,,,,,
396,9667.97,3.95E-06,3.86E-06,,,,,,
397,9692.38,3.97E-06,3.92E-06,,,,,,
398,9716.8,3.98E-06,3.94E-06,,,,,,
399,9741.21,4.08E-06,3.88E-06,,,,,,
400,9765.63,4.15E-06,3.84E-06,,,,,,
401,9790.04,4.09E-06,3.84E-06,,,,,,
402,9814.45,4.09E-06,3.87E-06,,,,,,
403,9838.87,4.17E-06,3.86E-06,,,,,,
404,9863.28,4.09E-06,3.92E-06,,,,,,
405,9887.7,3.97E-06,4.00E-06,,,,,,
406,9912.11,4.02E-06,3.96E-06,,,,,,
407,9936.52,4.05E-06,3.94E-06,,,,,,
408,9960.94,4.02E-06,3.87E-06,,,,,,
409,9985.35,4.07E-06,3.82E-06,,,,,,
410,10009.8,4.10E-06,3.86E-06,,,,,,
411,10034.2,4.03E-06,3.85E-06,,,,,,
412,10058.6,3.99E-06,3.88E-06,,,,,,
413,10083,4.05E-06,3.90E-06,,,,,,
414,10107.4,4.02E-06,3.85E-06,,,,,,
415,10131.8,3.95E-06,3.86E-06,,,,,,
416,10156.3,4.03E-06,3.91E-06,,,,,,
417,10180.7,4.13E-06,3.90E-06,,,,,,
418,10205.1,4.12E-06,3.88E-06,,,,,,
419,10229.5,4.03E-06,3.78E-06,,,,,,
420,10253.9,4.01E-06,3.80E-06,,,,,,
421,10278.3,4.02E-06,3.86E-06,,,,,,
422,10302.7,4.08E-06,3.90E-06,,,,,,
423,10327.1,4.16E-06,3.90E-06,,,,,,
424,10351.6,4.17E-06,3.87E-06,,,,,,
425,10376,4.17E-06,3.78E-06,,,,,,
426,10400.4,4.10E-06,3.78E-06,,,,,,
427,10424.8,4.07E-06,3.90E-06,,,,,,
428,10449.2,4.08E-06,3.97E-06,,,,,,
429,10473.6,4.10E-06,3.99E-06,,,,,,
430,10498,4.06E-06,4.01E-06,,,,,,
431,10522.5,4.02E-06,3.95E-06,,,,,,
432,10546.9,4.03E-06,3.94E-06,,,,,,
433,10571.3,4.00E-06,3.96E-06,,,,,,
434,10595.7,3.94E-06,3.91E-06,,,,,,
435,10620.1,3.99E-06,3.91E-06,,,,,,
436,10644.5,4.05E-06,3.90E-06,,,,,,
437,10668.9,4.00E-06,3.89E-06,,,,,,
438,10693.4,3.98E-06,3.94E-06,,,,,,
439,10717.8,3.94E-06,3.94E-06,,,,,,
440,10742.2,3.91E-06,3.92E-06,,,,,,
441,10766.6,3.96E-06,3.85E-06,,,,,,
442,10791,4.01E-06,3.83E-06,,,,,,
443,10815.4,4.05E-06,3.82E-06,,,,,,
444,10839.8,4.08E-06,3.77E-06,,,,,,
445,10864.3,4.08E-06,3.77E-06,,,,,,
446,10888.7,4.09E-06,3.82E-06,,,,,,
447,10913.1,4.11E-06,3.89E-06,,,,,,
448,10937.5,4.09E-06,3.85E-06,,,,,,
449,10961.9,4.03E-06,3.83E-06,,,,,,
450,10986.3,3.97E-06,3.97E-06,,,,,,
451,11010.7,3.99E-06,3.96E-06,,,,,,
452,11035.2,4.02E-06,3.86E-06,,,,,,
453,11059.6,3.99E-06,3.85E-06,,,,,,
454,11084,3.97E-06,3.90E-06,,,,,,
455,11108.4,3.99E-06,3.95E-06,,,,,,
456,11132.8,3.98E-06,3.93E-06,,,,,,
457,11157.2,3.99E-06,3.96E-06,,,,,,
458,11181.6,4.06E-06,3.96E-06,,,,,,
459,11206.1,4.08E-06,3.94E-06,,,,,,
460,11230.5,4.07E-06,3.94E-06,,,,,,
461,11254.9,4.00E-06,3.94E-06,,,,,,
462,11279.3,3.91E-06,3.92E-06,,,,,,
