Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
365,8911.13,5.53826e-06,3.9915e-06
366,8935.55,5.48587e-06,3.963e-06
367,8959.96,5.48246e-06,3.97583e-06
368,8984.38,5.47162e-06,3.96616e-06
369,9008.79,5.42773e-06,3.97149e-06
370,9033.2,5.45928e-06,4.01293e-06
371,9057.62,5.4304e-06,4.08409e-06
372,9082.03,5.40666e-06,4.07841e-06
373,9106.45,5.36392e-06,4.05844e-06
374,9130.86,5.29383e-06,3.99329e-06
375,9155.27,5.37437e-06,3.99381e-06
376,9179.69,5.45781e-06,4.03295e-06
377,9204.1,5.45475e-06,3.98994e-06
378,9228.52,5.4404e-06,3.91086e-06
379,9252.93,5.51446e-06,3.85342e-06
380,9277.34,5.44046e-06,3.89832e-06
381,9301.76,5.43344e-06,3.9325e-06
382,9326.17,5.5896e-06,3.91137e-06
383,9350.59,5.61728e-06,4.01084e-06
384,9375,5.57147e-06,4.06352e-06
385,9399.41,5.45658e-06,4.06364e-06
386,9423.83,5.36325e-06,4.0734e-06
387,9448.24,5.36857e-06,4.02188e-06
388,9472.66,5.46219e-06,3.98122e-06
389,9497.07,5.44928e-06,3.93053e-06
390,9521.48,5.37666e-06,3.90849e-06
391,9545.9,5.33775e-06,3.95969e-06
392,9570.31,5.38524e-06,3.94123e-06
393,9594.73,5.36957e-06,3.88818e-06
394,9619.14,5.37897e-06,3.85001e-06
395,9643.55,5.40206e-06,4.0009e-06
396,9667.97,5.48048e-06,4.08253e-06
397,9692.38,5.56581e-06,4.02556e-06
398,9716.8,5.45233e-06,3.98752e-06
399,9741.21,5.42677e-06,3.98383e-06
400,9765.63,5.44496e-06,3.99087e-06
401,9790.04,5.45186e-06,4.00506e-06
402,9814.45,5.56042e-06,3.9762e-06
403,9838.87,5.5784e-06,3.93623e-06
404,9863.28,5.51114e-06,3.96487e-06
405,9887.7,5.48764e-06,4.04628e-06
406,9912.11,5.53188e-06,4.06043e-06
407,9936.52,5.48656e-06,4.04103e-06
408,9960.94,5.39228e-06,4.12585e-06
409,9985.35,5.35695e-06,4.12432e-06
410,10009.8,5.37819e-06,4.09498e-06
411,10034.2,5.40693e-06,4.06981e-06
412,10058.6,5.45066e-06,3.98899e-06
413,10083,5.43107e-06,3.9415e-06
414,10107.4,5.43411e-06,3.94607e-06
415,10131.8,5.47766e-06,3.99495e-06
416,10156.3,5.52206e-06,4.04917e-06
417,10180.7,5.58775e-06,4.08412e-06
418,10205.1,5.52891e-06,4.0312e-06
419,10229.5,5.49335e-06,3.92541e-06
420,10253.9,5.54627e-06,3.91428e-06
421,10278.3,5.59129e-06,3.98871e-06
422,10302.7,5.5679e-06,4.01393e-06
423,10327.1,5.47492e-06,4.0125e-06
424,10351.6,5.47284e-06,4.0526e-06
425,10376,5.45037e-06,4.02167e-06
426,10400.4,5.36007e-06,3.91938e-06
427,10424.8,5.31774e-06,3.92313e-06
428,10449.2,5.30406e-06,3.9844e-06
429,10473.6,5.42743e-06,3.95919e-06
430,10498,5.44714e-06,3.91585e-06
431,10522.5,5.51256e-06,3.95897e-06
432,10546.9,5.63026e-06,3.95557e-06
433,10571.3,5.59028e-06,3.91777e-06
434,10595.7,5.41692e-06,3.90384e-06
435,10620.1,5.33735e-06,3.84624e-06
436,10644.5,5.35989e-06,3.93405e-06
437,10668.9,5.34764e-06,4.0135e-06
438,10693.4,5.40275e-06,3.9559e-06
439,10717.8,5.38042e-06,3.89398e-06
440,10742.2,5.42499e-06,3.89219e-06
441,10766.6,5.43487e-06,3.94074e-06
442,10791,5.35847e-06,4.0302e-06
443,10815.4,5.3172e-06,4.08837e-06
444,10839.8,5.36034e-06,4.06924e-06
445,10864.3,5.42963e-06,4.06816e-06
446,10888.7,5.52305e-06,4.01876e-06
447,10913.1,5.52648e-06,4.03952e-06
448,10937.5,5.47639e-06,4.0785e-06
449,10961.9,5.39836e-06,3.98657e-06
450,10986.3,5.39733e-06,3.85137e-06
451,11010.7,5.39527e-06,3.91155e-06
452,11035.2,5.32743e-06,3.98155e-06
453,11059.6,5.44415e-06,3.95706e-06
454,11084,5.5001e-06,4.03528e-06
455,11108.4,5.50061e-06,4.18045e-06
456,11132.8,5.51457e-06,4.11815e-06
457,11157.2,5.39232e-06,4.00611e-06
458,11181.6,5.27022e-06,3.99888e-06
459,11206.1,5.25849e-06,4.05647e-06
460,11230.5,5.29201e-06,4.03899e-06
461,11254.9,5.28898e-06,3.96682e-06
462,11279.3,5.33916e-06,4.02452e-06
463,11303.7,5.42959e-06,4.07971e-06
464,11328.1,5.48416e-06,4.0928e-06
465,11352.5,5.42609e-06,4.09378e-06
466,11377,5.40164e-06,4.04099e-06
467,11401.4,5.3972e-06,4.00536e-06
468,11425.8,5.27182e-06,4.01433e-06
469,11450.2,5.23627e-06,4.06816e-06
470,11474.6,5.34509e-06,4.01121e-06
471,11499,5.35718e-06,3.98847e-06
472,11523.4,5.27994e-06,3.97725e-06
473,11547.9,5.24864e-06,3.94454e-06
474,11572.3,5.37504e-06,3.98379e-06
475,11596.7,5.54558e-06,4.00191e-06
476,11621.1,5.44562e-06,3.97347e-06
477,11645.5,5.3682e-06,3.96611e-06
478,11669.9,5.50634e-06,4.07804e-06
479,11694.3,5.52012e-06,4.1944e-06
480,11718.8,5.42412e-06,4.14797e-06
481,11743.2,5.46378e-06,3.99287e-06
482,11767.6,5.4476e-06,3.94503e-06
483,11792,5.40221e-06,3.99993e-06
484,11816.4,5.42872e-06,4.06201e-06
485,11840.8,5.43738e-06,4.07454e-06
486,11865.2,5.36913e-06,3.9458e-06
487,11889.6,5.34249e-06,3.93156e-06
488,11914.1,5.33371e-06,4.02765e-06
489,11938.5,5.29235e-06,4.04092e-06
490,11962.9,5.22523e-06,3.99287e-06
491,11987.3,5.22586e-06,3.93734e-06
492,12011.7,5.25683e-06,3.91099e-06
493,12036.1,5.39451e-06,3.99029e-06
494,12060.5,5.41543e-06,4.06281e-06
495,12085,5.36558e-06,4.0584e-06
496,12109.4,5.47101e-06,4.06101e-06
497,12133.8,5.50061e-06,4.05059e-06
498,12158.2,5.43954e-06,4.09364e-06
499,12182.6,5.4545e-06,4.14343e-06
500,12207,5.49656e-06,4.11437e-06
501,12231.4,5.5124e-06,4.08644e-06
502,12255.9,5.50335e-06,4.07463e-06
503,12280.3,5.39676e-06,3.96255e-06
504,12304.7,5.38252e-06,3.9539e-06
505,12329.1,5.42954e-06,4.04535e-06
506,12353.5,5.3641e-06,4.10706e-06
507,12377.9,5.26805e-06,4.15626e-06
508,12402.3,5.34993e-06,4.14836e-06
509,12426.8,5.44244e-06,4.11666e-06
510,12451.2,5.46066e-06,4.06788e-06
511,12475.6,5.45981e-06,3.98835e-06
512,12500,5.46856e-06,3.90155e-06
513,12524.4,5.38432e-06,3.88791e-06
514,12548.8,5.34345e-06,3.88544e-06
515,12573.2,5.32542e-06,3.9501e-06
516,12597.7,5.29701e-06,4.01132e-06
517,12622.1,5.25554e-06,4.0168e-06
518,12646.5,5.29241e-06,4.03813e-06
519,12670.9,5.31537e-06,4.02648e-06
520,12695.3,5.32697e-06,4.05662e-06
521,12719.7,5.43409e-06,3.99918e-06
522,12744.1,5.5169e-06,3.94912e-06
523,12768.6,5.44705e-06,4.05606e-06
524,12793,5.36547e-06,4.07994e-06
525,12817.4,5.30252e-06,3.99605e-06
526,12841.8,5.32069e-06,3.95571e-06
527,12866.2,5.42669e-06,3.977e-06
528,12890.6,5.41422e-06,3.97421e-06
529,12915,5.41567e-06,3.97418e-06
530,12939.5,5.35992e-06,4.00854e-06
531,12963.9,5.33726e-06,3.98553e-06
532,12988.3,5.4102e-06,3.94191e-06
533,13012.7,5.37323e-06,3.96777e-06
534,13037.1,5.34353e-06,4.05025e-06
535,13061.5,5.31655e-06,4.14643e-06
536,13085.9,5.38263e-06,4.12724e-06
537,13110.4,5.4116e-06,4.11044e-06
538,13134.8,5.39036e-06,4.08406e-06
539,13159.2,5.3879e-06,4.05876e-06
540,13183.6,5.40786e-06,4.00816e-06
541,13208,5.40932e-06,3.9662e-06
542,13232.4,5.46556e-06,3.94519e-06
543,13256.8,5.56633e-06,3.95056e-06
544,13281.3,5.5351e-06,3.99383e-06
545,13305.7,5.52048e-06,3.92786e-06
546,13330.1,5.48478e-06,3.86853e-06
547,13354.5,5.2967e-06,3.94233e-06
548,13378.9,5.19663e-06,4.02619e-06
549,13403.3,5.2659e-06,4.00886e-06
550,13427.7,5.36282e-06,4.03499e-06
551,13452.1,5.44351e-06,3.97951e-06
552,13476.6,5.37206e-06,3.81934e-06
553,13501,5.26677e-06,3.86958e-06
554,13525.4,5.33526e-06,4.05389e-06
555,13549.8,5.40351e-06,4.10025e-06
556,13574.2,5.49178e-06,3.98921e-06
557,13598.6,5.50301e-06,3.98315e-06
558,13623,5.43151e-06,3.97258e-06
559,13647.5,5.29475e-06,3.88667e-06
560,13671.9,5.27537e-06,3.92792e-06
561,13696.3,5.27177e-06,4.01323e-06
562,13720.7,5.37238e-06,4.03585e-06
563,13745.1,5.40582e-06,3.99731e-06
564,13769.5,5.32516e-06,3.96913e-06
565,13793.9,5.31263e-06,4.01359e-06
566,13818.4,5.42781e-06,4.02839e-06
567,13842.8,5.45561e-06,3.9645e-06
568,13867.2,5.4783e-06,3.89074e-06
569,13891.6,5.58814e-06,3.93497e-06
570,13916,5.5417e-06,3.99664e-06
571,13940.4,5.49322e-06,3.91341e-06
572,13964.8,5.49392e-06,3.94753e-06
573,13989.3,5.46276e-06,4.07171e-06
574,14013.7,5.33627e-06,4.16783e-06
575,14038.1,5.29091e-06,4.10427e-06
576,14062.5,5.32317e-06,4.01709e-06
577,14086.9,5.29438e-06,3.9837e-06
578,14111.3,5.34723e-06,3.97167e-06
579,14135.7,5.38719e-06,3.98424e-06
580,14160.2,5.37558e-06,4.00167e-06
581,14184.6,5.3379e-06,4.04153e-06
582,14209,5.26403e-06,3.99348e-06
583,14233.4,5.2723e-06,3.90881e-06
584,14257.8,5.38089e-06,3.91264e-06
585,14282.2,5.41784e-06,3.95298e-06
586,14306.6,5.39695e-06,3.94999e-06
587,14331.1,5.39347e-06,4.02624e-06
588,14355.5,5.47409e-06,4.07281e-06
589,14379.9,5.48968e-06,3.97779e-06
590,14404.3,5.3985e-06,3.96299e-06
591,14428.7,5.43416e-06,3.96986e-06
592,14453.1,5.51602e-06,3.98617e-06
593,14477.5,5.41972e-06,3.98685e-06
594,14502,5.28953e-06,3.95376e-06
595,14526.4,5.32255e-06,3.92966e-06
596,14550.8,5.41469e-06,3.95748e-06
597,14575.2,5.48927e-06,4.03977e-06
598,14599.6,5.41973e-06,4.10576e-06
599,14624,5.46108e-06,4.06738e-06
600,14648.4,5.48381e-06,3.99449e-06
601,14672.9,5.32391e-06,3.97102e-06
602,14697.3,5.26945e-06,3.98903e-06
