frequency(Hz),V/rt(Hz),Title
1851.5625,1.96E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1859.375,2.00E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1867.1875,2.00E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1875,1.96E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1882.8125,1.96E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1890.625,1.98E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1898.4375,1.97E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1906.25,1.96E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1914.0625,1.95E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1921.875,1.93E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1929.6875,1.93E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1937.5,1.93E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1945.3125,1.91E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1953.125,1.89E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1960.9375,1.88E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1968.75,1.90E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1976.5625,1.95E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1984.375,2.02E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1992.1875,2.20E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2000,2.33E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2007.8125,2.17E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2015.625,1.95E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2023.4375,1.88E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2031.25,1.89E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2039.0625,1.92E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2046.875,1.92E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2054.6875,1.90E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2062.5,1.89E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2070.3125,1.88E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2078.125,1.86E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2085.9375,1.83E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2093.75,1.85E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2101.5625,1.88E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2109.375,1.89E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2117.1875,1.89E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2125,1.91E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2132.8125,1.93E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2140.625,1.92E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2148.4375,1.89E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2156.25,1.87E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2164.0625,1.87E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2171.875,1.88E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2179.6875,1.85E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2187.5,1.83E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2195.3125,1.84E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2203.125,1.86E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2210.9375,1.87E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2218.75,1.86E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2226.5625,1.84E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2234.375,1.84E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2242.1875,1.86E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2250,1.86E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2257.8125,1.87E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2265.625,1.87E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2273.4375,1.86E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2281.25,1.86E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2289.0625,1.85E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2296.875,1.82E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2304.6875,1.78E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2312.5,1.79E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2320.3125,1.82E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2328.125,1.82E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2335.9375,1.82E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2343.75,1.84E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2351.5625,1.84E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2359.375,1.82E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2367.1875,1.80E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2375,1.79E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2382.8125,1.78E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2390.625,1.81E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2398.4375,1.85E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2406.25,1.88E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2414.0625,1.90E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2421.875,1.88E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2429.6875,1.84E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2437.5,1.80E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2445.3125,1.78E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2453.125,1.78E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2460.9375,1.80E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2468.75,1.84E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2476.5625,1.84E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2484.375,1.80E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2492.1875,1.79E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2500,1.79E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2507.8125,1.77E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2515.625,1.78E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2523.4375,1.81E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2531.25,1.84E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2539.0625,1.86E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2546.875,1.85E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2554.6875,1.82E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2562.5,1.82E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2570.3125,1.85E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2578.125,1.88E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2585.9375,1.90E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2593.75,1.88E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2601.5625,1.84E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2609.375,1.83E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2617.1875,1.81E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2625,1.78E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2632.8125,1.76E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2640.625,1.76E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2648.4375,1.77E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2656.25,1.79E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2664.0625,1.77E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2671.875,1.75E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2679.6875,1.75E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2687.5,1.75E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2695.3125,1.76E-07,LMH6624 PSD @ 200 kHz Hi BW Span
2703.125,1.79E-07,LMH6624 PSD @ 200 kHz Hi BW Span
