;Scopy version,f4beeb1
;Exported on,Monday October 28/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
531,12963.9,6.78351e-05,4.08546e-06
532,12988.3,6.85782e-05,4.03315e-06
533,13012.7,6.99553e-05,3.94852e-06
534,13037.1,6.9859e-05,3.93689e-06
535,13061.5,6.91688e-05,3.88264e-06
536,13085.9,6.96725e-05,3.85281e-06
537,13110.4,7.02623e-05,3.89061e-06
538,13134.8,7.08109e-05,3.9505e-06
539,13159.2,7.08814e-05,3.99438e-06
540,13183.6,6.95251e-05,3.92184e-06
541,13208,6.89194e-05,3.84245e-06
542,13232.4,6.97031e-05,3.87825e-06
543,13256.8,6.89341e-05,3.92194e-06
544,13281.3,6.88353e-05,3.93505e-06
545,13305.7,6.99556e-05,3.9024e-06
546,13330.1,6.95624e-05,3.92837e-06
547,13354.5,6.87594e-05,4.01364e-06
548,13378.9,6.82922e-05,3.99369e-06
549,13403.3,6.96956e-05,3.98881e-06
550,13427.7,7.22222e-05,3.99205e-06
551,13452.1,7.11097e-05,3.96653e-06
552,13476.6,6.90494e-05,3.90919e-06
553,13501,6.88717e-05,3.88539e-06
554,13525.4,6.8824e-05,3.94862e-06
555,13549.8,6.98757e-05,3.88707e-06
556,13574.2,7.14547e-05,3.86179e-06
557,13598.6,7.16045e-05,3.86068e-06
558,13623,7.12007e-05,3.9096e-06
559,13647.5,7.08638e-05,3.93412e-06
560,13671.9,7.00294e-05,3.82041e-06
561,13696.3,7.00385e-05,3.78767e-06
562,13720.7,6.97661e-05,3.86685e-06
563,13745.1,7.01645e-05,3.91569e-06
564,13769.5,7.05229e-05,3.9163e-06
565,13793.9,7.00265e-05,3.92172e-06
566,13818.4,7.0027e-05,3.94723e-06
567,13842.8,7.01176e-05,3.94974e-06
568,13867.2,7.04388e-05,3.90283e-06
569,13891.6,7.0042e-05,3.89084e-06
570,13916,7.01541e-05,3.97304e-06
571,13940.4,7.12028e-05,4.01308e-06
572,13964.8,7.04023e-05,3.96271e-06
573,13989.3,6.95958e-05,3.89924e-06
574,14013.7,7.03672e-05,3.92611e-06
575,14038.1,7.03973e-05,3.91601e-06
576,14062.5,7.0697e-05,3.94158e-06
577,14086.9,7.05527e-05,3.88594e-06
578,14111.3,6.93157e-05,3.85574e-06
579,14135.7,6.88467e-05,3.89719e-06
580,14160.2,6.94992e-05,3.87894e-06
581,14184.6,7.01298e-05,3.85282e-06
582,14209,7.05807e-05,3.90529e-06
583,14233.4,6.98166e-05,3.8866e-06
